parentType	childCount	positionLeft	positionTop	width	height	textNodeCount	avChildWidth	avChildHeight	sdChildWidth	sdChildHeight	avChildX	avChildY	sdChildX	sdChildY	subElement
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
															class
DIV	90	275	32	441	322	14	270.06	53.21	210.92	90.21	211.09	122.79	133.20	111.19	Y
DIV	89	275	33	440	320	14	267.45	49.11	211.48	84.56	210.11	124.17	133.98	111.48	Y
DIV	87	275	33	440	320	14	264.75	44.88	212.01	78.09	209.09	125.59	134.78	111.76	Y
DIV	86	275	33	440	320	14	261.97	40.51	212.52	70.53	208.05	127.06	135.59	112.02	Y
DIV	85	275	33	440	320	14	259.10	36.00	213.02	61.44	206.97	128.58	136.41	112.28	Y
DIV	65	275	33	440	320	11	339.65	41.57	179.07	53.67	272.98	172.59	81.56	97.29	Y
DIV	3	275	33	440	31	2	40.00	15.00	0.00	0.00	668.00	41.00	0.00	0.00	N
DIV	1	668	41	40	15	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	60	275	65	440	289	9	341.95	36.67	178.17	40.18	263.70	181.40	58.32	94.46	Y
DIV	59	275	65	440	289	9	339.62	30.67	179.62	10.04	263.43	184.17	58.99	93.84	Y
UL	6	275	65	440	32	1	335.75	27.75	180.57	7.36	277.00	67.00	3.46	3.46	Y
DIV	5	275	65	440	32	1	301.00	26.33	196.58	8.01	277.67	67.67	3.77	3.77	Y
LI	4	275	65	440	32	1	231.50	23.50	208.50	8.50	279.00	69.00	4.00	4.00	Y
DIV	3	275	65	440	32	1	23.00	15.00	0.00	0.00	283.00	73.00	0.00	0.00	N
A	1	283	73	23	15	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	6	275	97	440	32	1	335.75	27.75	180.57	7.36	277.00	99.25	3.46	3.90	Y
DIV	5	275	97	440	32	1	301.00	26.33	196.58	8.01	277.67	100.00	3.77	4.24	Y
LI	4	275	97	440	32	1	231.50	23.50	208.50	8.50	279.00	101.50	4.00	4.50	Y
DIV	3	275	97	440	32	1	23.00	15.00	0.00	0.00	283.00	106.00	0.00	0.00	N
A	1	283	106	23	15	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	6	275	130	440	39	1	335.75	35.00	180.57	6.93	277.00	132.00	3.46	3.46	Y
DIV	5	275	130	440	39	1	301.00	33.67	196.58	7.54	277.67	132.67	3.77	3.77	Y
LI	4	275	130	440	39	1	231.50	31.00	208.50	8.00	279.00	134.00	4.00	4.00	Y
DIV	3	275	130	440	39	1	23.00	23.00	0.00	0.00	283.00	138.00	0.00	0.00	N
A	1	283	138	23	23	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	6	275	170	440	39	1	335.75	35.00	180.57	6.93	277.00	172.00	3.46	3.46	Y
DIV	5	275	170	440	39	1	301.00	33.67	196.58	7.54	277.67	172.67	3.77	3.77	Y
LI	4	275	170	440	39	1	231.50	31.00	208.50	8.00	279.00	174.00	4.00	4.00	Y
DIV	3	275	170	440	39	1	23.00	23.00	0.00	0.00	283.00	178.00	0.00	0.00	N
A	1	283	178	23	23	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	6	275	210	440	39	1	335.75	35.00	180.57	6.93	277.00	212.00	3.46	3.46	Y
DIV	5	275	210	440	39	1	301.00	33.67	196.58	7.54	277.67	212.67	3.77	3.77	Y
LI	4	275	210	440	39	1	231.50	31.00	208.50	8.00	279.00	214.00	4.00	4.00	Y
DIV	3	275	210	440	39	1	23.00	23.00	0.00	0.00	283.00	218.00	0.00	0.00	N
A	1	283	218	23	23	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	6	275	250	440	39	1	335.75	35.00	180.57	6.93	277.00	252.00	3.46	3.46	Y
DIV	5	275	250	440	39	1	301.00	33.67	196.58	7.54	277.67	252.67	3.77	3.77	Y
LI	4	275	250	440	39	1	231.50	31.00	208.50	8.00	279.00	254.00	4.00	4.00	Y
DIV	3	275	250	440	39	1	23.00	23.00	0.00	0.00	283.00	258.00	0.00	0.00	N
A	1	283	258	23	23	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	6	275	290	440	32	1	335.75	27.75	180.57	7.36	277.00	292.00	3.46	3.46	Y
DIV	5	275	290	440	32	1	301.00	26.33	196.58	8.01	277.67	292.67	3.77	3.77	Y
LI	4	275	290	440	32	1	231.50	23.50	208.50	8.50	279.00	294.00	4.00	4.00	Y
DIV	3	275	290	440	32	1	23.00	15.00	0.00	0.00	283.00	298.00	0.00	0.00	N
A	1	283	298	23	15	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	6	275	322	440	32	1	335.75	27.75	180.57	7.36	277.00	324.00	3.46	3.46	Y
DIV	5	275	322	440	32	1	301.00	26.33	196.58	8.01	277.67	324.67	3.77	3.77	Y
LI	4	275	322	440	32	1	231.50	23.50	208.50	8.50	279.00	326.00	4.00	4.00	Y
DIV	3	275	322	440	32	1	23.00	15.00	0.00	0.00	283.00	330.00	0.00	0.00	N
A	1	283	330	23	15	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
LI	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	4	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
